seccion,categoria,descripcion,precioMedida,precio,precioPrevio,precioOferta,promocion,enlace
,,"
Champú reparador para cabellos secos y dañados ecológico Lavera 250 ml.","3,14 €/100 ml","7,85 €",,,,https://www.carrefour.es/supermercado/champu-reparador-para-cabellos-secos-y-danados-ecologico-lavera-250-ml-lavera/R-prod81754/p?prtId=cat20031
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo de fregar octogonal Vileda  - Rojo","3,20 €/ud","3,20 €",,,,https://www.carrefour.es/supermercado/palo-de-fregar-octogonal-vileda-rojo/R-521013146/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo de Aluminio CARREFOUR 2,2x2,2x130 cm","2,90 €/ud","2,90 €",,,3x2,https://www.carrefour.es/supermercado/palo-de-aluminio-carrefour-2-2x2-2x130-cm-carrefour/R-609800868/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo de Exterior Madera Natural ROZENBAL - Madera","2,70 €/ud","2,70 €",,,,https://www.carrefour.es/supermercado/palo-de-exterior-madera-natural-rozenbal-madera/R-846900378/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo Telescópico de Aluminio CARREFOUR 2,5x2,5x200 cm","4,80 €/ud","4,80 €",,,3x2,https://www.carrefour.es/supermercado/palo-telescopico-de-aluminio-carrefour-2-5x2-5x200-cm-carrefour/R-655302078/p
,,"
Champú purificante para cabellos grasos ecológico Lavera 250 ml.","3,14 €/100 ml","7,85 €",,,,https://www.carrefour.es/supermercado/champu-purificante-para-cabellos-grasos-ecologico-lavera-250-ml-lavera/R-prod80330/p?prtId=cat20031
Utensilios de Limpieza,"
Palos y Sujetapalos","
Sujeta Escobas Triple VIGAR - Gris ","6,20 €/ud","6,20 €",,,,https://www.carrefour.es/supermercado/sujeta-escobas-triple-vigar-gris/R-829517858/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo antideslizante   Spontex  - Azul","2,70 €/ud","2,70 €",,,,https://www.carrefour.es/supermercado/palo-antideslizante-spontex-azul/R-783909272/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Sujeta Escobas Unitario VIGAR - Gris","2,60 €/ud","2,60 €",,,,https://www.carrefour.es/supermercado/sujeta-escobas-unitario-vigar-gris/R-829517862/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Sujetapalos triple  Vileda  - Rojo","9,90 €/ud","9,90 €",,,,https://www.carrefour.es/supermercado/sujetapalos-triple-vileda-rojo/R-609800896/p
Ambientadores,"
Antihumedad","
Antihumedad recambio Carrefour 1 ud.","2,00 €/ud","2,00 €",,,,https://www.carrefour.es/supermercado/antihumedad-recambio-carrefour-1-ud-carrefour/R-521002176/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo antideslizante de interior  Elephant - Azul","2,60 €/ud","2,60 €",,,,https://www.carrefour.es/supermercado/palo-antideslizante-de-interior-elephant-azul/R-834406540/p
Utensilios de Limpieza,"
Palos y Sujetapalos","
Palo 110-190 cm c/articulación y recambio  Leifheit  - Turquesa","13,00 €/ud","13,00 €",,,,https://www.carrefour.es/supermercado/palo-110-190-cm-c-articulacion-y-recambio-leifheit-turquesa/R-836506455/p
Ambientadores,"
Antihumedad","
Antihumedad recambio Humydry 3 ud.","2,22 €/ud","6,65 €",,,,https://www.carrefour.es/supermercado/antihumedad-recambio-humydry-3-ud-humex/R-521028662/p
Ambientadores,"
Antihumedad","
Antihumedad recambios y aparato Humydry pack de 3 unidades de 250 g.","8,00 €/kg","6,00 €",,,,https://www.carrefour.es/supermercado/antihumedad-recambios-y-aparato-humydry-pack-de-3-unidades-de-250-g-humidry/R-635101933/p
Ambientadores,"
Antihumedad","
Ambientador mini perfumado Humydry 1 ud.","12,53 €/100 ml","1,88 €",,,,https://www.carrefour.es/supermercado/ambientador-mini-perfumado-humydry-1-ud-humydry/R-521002174/p
