categoria,descripcion,enlace,precio,precioOferta,precioPrevio,precio_Kg_L_ud,promocion,seccion
Congelados en Charcutería y Quesos al Corte,"
Mortadela ibérica Legado ElPozo al corte 150 g aprox",https://www.carrefour.es/supermercado/mortadela-iberica-legado-elpozo-al-corte-150-g-aprox/R-615401890/p,"1,06 €",,,"7,10 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo ElPozo al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-elpozo-al-corte-150-g-aprox-el-pozo/R-717314202/p,"1,53 €",,,"10,20 €/kg",,Cestas y Lotes
Bio en Dulce y Desayuno,"
Galletas con arroz integral rellenas de cacao y avellana ecológicas Carrefour Bio 120 g.",https://www.carrefour.es/supermercado/galletas-con-arroz-integral-rellenas-de-cacao-y-avellana-ecologicas-carrefour-bio-120-g-carrefour-bio/R-813066446/p?prtId=cat20010,"2,15 €",,,"17,92 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Mermelada de albaricoque ecológica Carrefour Bio 350 g.",https://www.carrefour.es/supermercado/mermelada-de-albaricoque-ecologica-carrefour-bio-350-g-carrefour-bio/R-fprod1270205/p?prtId=cat20010,"1,90 €",,,"5,43 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Infusión digestive en bolsitas ecológica Carrefour Bio 20 ud.",https://www.carrefour.es/supermercado/infusion-digestive-en-bolsitas-ecologica-carrefour-bio-20-ud-carrefour-bio/R-fprod1360099/p?prtId=cat20010,"2,00 €",,,"71,43 €/kg",,Dulce y Desayuno
Bio en Dulce y Desayuno,"
Té verde ecológico Carrefour Bio 80 g.",https://www.carrefour.es/supermercado/te-verde-ecologico-carrefour-bio-80-g-carrefour-bio/R-546306794/p?prtId=cat20010,"1,59 €",,,"19,88 €/kg",,Dulce y Desayuno
Congelados en Charcutería y Quesos al Corte,"
Chopped de lata cuadrada La Selva al corte 150 g aprox",https://www.carrefour.es/supermercado/chopped-de-lata-cuadrada-la-selva-al-corte-150-g-aprox/R-590509290/p,"1,35 €",,,"9,00 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Mortadela big bologna Oscar Mayer al corte 150 g aprox",https://www.carrefour.es/supermercado/mortadela-big-bologna-oscar-mayer-al-corte-150-g-aprox/R-609800548/p,"1,56 €",,,"10,40 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Mortadela de pavo con aceitunas ElPozo al corte 250 g aprox",https://www.carrefour.es/supermercado/mortadela-de-pavo-con-aceitunas-elpozo-al-corte-250-g-aprox-el-pozo/R-765504643/p,"1,64 €",,,"6,55 €/kg",,Cestas y Lotes
Congelados en Charcutería y Quesos al Corte,"
Pechuga de pavo sin sal 0% grasa ElPozo al corte 150 g aprox",https://www.carrefour.es/supermercado/pechuga-de-pavo-sin-sal-0-grasa-elpozo-al-corte-150-g-aprox-el-pozo/R-615401888/p,"1,79 €",,,"11,95 €/kg",,Cestas y Lotes
