,Productos,Precio/Kg,Precios,PrecioPrevio,Ofertas,Promociones
9340,"
Zumo de piña y coco de Juver-Disfruta Exótico sin azúcar añadido brik 1 l.","
 1 L. |
1,19 €/l","1,19 €",,,
9341,"
Néctar de melocotón Granini GO! pack 3 briks 200 ml. ","
 Pack 3x20 Cl. |
2,22 €/l","1,33 €",,,
9342,"
Néctar de piña Granini GO! pack 3 briks 200 ml.  ","
 Pack 3x20 Cl. |
2,15 €/l","1,29 €",,,
9343,"
Zumo de frutas y leche Carrefour sabor tropical pack de 3 briks de 33 cl.","
 Pack 3x33 Cl. |
0,70 €/l","0,69 €",,,
9344,"
Bebida de fruta naranja Granini sin azúcar añadido botella 1 l. ","
 1 L. |
2,09 €/l","2,09 €",,,
9345,"
Bebida de naranja Carrefour sin azúcar pack de 6 briks de 20 cl.","
 Pack 6x20 Cl. |
0,90 €/l","1,08 €",,,
9346,"
Zumo de naranja Juver-Disfruta sin azúcar añadido pack de 6 briks de 20 cl.","
 Pack 6x20 Cl. |
1,62 €/l","1,95 €",,,3x2
9347,"
Zumo de narqanja ecológico Carrefour Bio brik 1 l.","
 1 L. |
2,09 €/l","2,09 €",,,
9348,"
Zumo mediterráneo zero sin azúcar añadido Bifrutas sin gluten pack de 3 briks de 330 ml.","
 Pack 3x33 Cl. |
1,86 €/l","1,84 €",,,
9349,"
Bebida de fruta melocotón Granini botella 1,5 l.","
 1,5 L. |
1,87 €/l","2,80 €",,,
9350,"
Néctar de frutos rojos Carrefour brik 1 l.","
 1 L. |
0,68 €/l","0,68 €",,,
9351,"
Zumo Bifrutas Tropical zero brik 1 l.","
 1 L. |
1,66 €/l","1,66 €",,,
9352,"
Zumo de naranja, mango y zanahoria Juver-Disfruta Exótico sin azúcar añadido botella 1 l.","
 1 L. |
1,24 €/l","1,24 €",,,
9353,"
Zumo de melocotón, manzana y uva Don Simón pack de 6 briks de 20 cl.","
 Pack 6x20 Cl. |
1,22 €/l","1,47 €",,,
9354,"
Zumo de manzana Don Simón pack de 6 briks de 20 cl.","
 Pack 6x20 Cl. |
1,22 €/l","1,47 €",,,
9355,"
Zumo de uva roja ecológico Carrefour Bio brik 1 l.","
 1 L. |
2,09 €/l","2,09 €",,,
9356,"
Zumo de melocotón Granini botella 1 l.","
 1 L. |
2,05 €/l","2,05 €",,,
9357,"
Zumo de tomate Granini botella 1 l.","
 1 L. |
1,93 €/l","1,93 €",,,
9358,"
Néctar de naranja Don Simón Disfruta sin azúcar añadido botella 1,5 l.","
 1,5 L. |
0,79 €/l","1,19 €",,,
9359,"
Néctar de piña Carrefour brik 1 l.","
 1 L. |
0,59 €/l",,"
0,63 €","
0,59 €",3x2
9360,"
Néctar de piña Granini botella 1,5 l.","
 1,5 L. |
1,83 €/l","2,75 €",,,
9361,"
Zumo de naranja y mango Zumosol exprimido brik 1 l.","
 1 L. |
1,80 €/l","1,80 €",,,
9362,"
Néctar de piña Don Simón Disfruta sin azúcar añadido botella 1,5 l.","
 1,5 L. |
0,86 €/l","1,29 €",,,
9363,"
Bebida de frutas zanahoria y naranja Granini botella 1,5 l.","
 1,5 L. |
1,93 €/l","2,90 €",,,
9364,"
Néctar de cóctel de frutas Granini botella 1,5 l. ","
 1,5 L. |
1,93 €/l","2,90 €",,,
9365,"
Zumo de fruta y leche Carrefour Mediterráneo pack de 3 briks de 33 cl.","
 Pack 3x33 Cl. |
0,70 €/l","0,69 €",,,
9366,"
Mosto Greip tinto botella 1 l.","
 1 L. |
1,96 €/l","1,96 €",,,
9367,"
Zumo de naranja y fresa Zumosol exprimido brik 1 l.","
 1 L. |
1,92 €/l","1,92 €",,,
9368,"
Bebida de fruta arándano rojo Granini botella 1 l.","
 1 L. |
2,00 €/l","2,00 €",,,
9369,"
Mosto Carrefour blanco botella 1 l. ","
 1 L. |
1,10 €/l","1,10 €",,,
9370,"
Zumo de manzana 100% Fruta Granini botella 1 l. ","
 1 L. |
2,05 €/l","2,05 €",,,
9371,"
Néctar de melocotón y uva Carrefour brik 1 l.","
 1 L. |
0,63 €/l","0,63 €",,,
9372,"
Zumo de pera y piña Juver-Disfruta sin azúcar añadido añadido brik 2 l.","
 2 L. |
1,14 €/l","2,29 €",,,
9373,"
Zumo de frutas tropicales Juver-Disfruta sin azúcar añadido brik 2 l.","
 2 L. |
1,08 €/l","2,15 €",,,
9374,"
Zumo de melocotón y uva ecológico Carrefour Bio brik 1 l.","
 1 L. |
2,09 €/l","2,09 €",,,
9375,"
Zumo de piña y uva Zumosol brik 1 l.","
 1 L. |
0,56 €/l","0,56 €",,,
9376,"
Néctar de naranja Carrefour brik 1 l.","
 1 L. |
0,63 €/l","0,63 €",,,
9377,"
Néctar de pomelo rosa Granini Selección botella 1 l.","
 1 L. |
2,00 €/l","2,00 €",,,3x2
9378,,,,,,
9379,"
Smoothie piña, mango y yogur Carrefour botella 25 cl.","
 25 Cl. |
6,36 €/l","1,59 €",,,
9380,"
Smoothie verde Greatest Hits botella 25 cl.","
 250 Ml. |
10,36 €/l","2,59 €",,,
9381,"
Smoothie de mango innocent botella 25 cl.","
 25 Cl. |
8,36 €/l","2,09 €",,,
9382,"
Smoothie tropical True-Fruits botella 25 cl.","
 250 Ml. |
10,36 €/l","2,59 €",,,
9383,"
Zumo de naranja recién exprimido Carrefour 250 ml","
 250 Ml |
5,96 €/l","1,49 €",,,
9384,"
Smoothie Rosa True-Fruits 25 cl.","
 250 Ml. |
10,36 €/l","2,59 €",,,
9385,"
Smoothie Morado True Fruits botella 25 cl.","
 250 Ml. |
10,36 €/l","2,59 €",,,
9386,"
Zumo multifrutas Tropicana exprimido botella 90 cl.","
 90 Cl. |
2,89 €/l","2,60 €",,,
9387,"
Refresco de naranja y fresa sin gas Carrefour botella 1 l.","
 1 L. |
1,00 €/l","1,00 €",,,
9388,"
Smoothie de naranja, zanahoria, manzana ecológico Be Green botella 30 cl.","
 30 Cl. |
10,17 €/l","3,05 €",,,
9389,"
Zumo de manzana, pera y frambuesa Carrefour botella 1 l.","
 1 L. |
3,65 €/l","3,65 €",,,
9390,"
Zumo Sunny Delight Florida botella 50 cl.","
 50 Cl. |
2,10 €/l","1,05 €",,,
9391,"
Zumo de naranja Zumosol exprimido con pulpa botella 75 cl.","
 75 Cl. |
2,48 €/l","1,86 €",,,
9392,"
Zumo de naranja y mango Carrefour botella 25 cl","
 25 Cl. |
6,36 €/l","1,59 €",,,
9393,"
Zumo de piña Zumosol exprimido botella 75 cl.","
 75 Cl. |
3,13 €/l","2,35 €",,,
9394,"
Zumo de naranja Coldpress botella 75 cl.","
 75 Cl. |
3,40 €/l","2,55 €",,,
9395,"
Zumo de uva, frambuesa, granada y mora Zumosol exprimido botella 75 cl.","
 75 Cl. |
3,05 €/l","2,29 €",,,
9396,"
Crema de remolacha ecológica 500 g","
 500 Gr |
5,00 €/kg","2,50 €",,,
9397,"
Smoothie de manzana, espinaca, piña Pom'bel bolsita 210 ml.","
 210 Ml. |
6,14 €/kg","1,29 €",,,
9398,"
Smoothie de frutos del bosque Pom'bel bolsita 210 ml.","
 210 Ml. |
6,14 €/kg","1,29 €",,,
9399,"
Zumo de manzana y jengibre El Frutero botella 25 cl","
 25 Cl. |
6,36 €/l","1,59 €",,,
9400,"
Zumo vegetal Romantics Transilvania botella 25 cl.","
 25 Cl. |
9,96 €/l","2,49 €",,,
9401,"
Zumo vegetal Romantics Flower Power botella 25 cl.","
 25 Cl. |
9,96 €/l","2,49 €",,,
9402,"
Zumo Romantics Detox Aloe Vera botella 25 cl.","
 25 Cl. |
9,96 €/l","2,49 €",,,
9403,"
Zumo Romantics Detox Ginger Boy botella 25 cl.","
 25 Cl. |
9,96 €/l","2,49 €",,,
9404,,,,,,
9405,"
Refresco de naranja Trina sin gas botella 1,5 l.","
 1,5 L. |
0,85 €/l","1,28 €",,,
9406,"
Limonada Minute Maid sin gas botella 1 l.","
 1 L. |
1,25 €/l",,"
1,34 €","
1,25 €",2x1 Acumulación
9407,"
Refresco de naranja Trina zero sin gas botella 1,5 l.","
 1,5 L. |
0,92 €/l","1,38 €",,,
9408,"
Limonada Minute Maid sabor hierbabuena sin gas botella 1 l.","
 1 L. |
1,25 €/l",,"
1,34 €","
1,25 €",2x1 Acumulación
9409,"
Refresco de naranja Trina sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9410,"
Limonada Minute Maid Ligero sin gas botella 1 l.","
 1 L. |
1,24 €/l","1,24 €",,,2x1 Acumulación
9411,"
Refresco de limón Trina zero sin gas botella 1,5 l.","
 1,5 L. |
0,92 €/l","1,38 €",,,
9412,"
Font Vella La Limonada con zumo de limón sin gas botella 1,25 l.","
 1,25 L. |
0,84 €/l","1,05 €",,,
9413,"
Refresco de naranja Trina zero sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9414,"
Font Vella La Limonada con zumo de limón sin gas zero botella 1,25 l.","
 1,25 L. |
0,84 €/l","1,05 €",,,
9415,"
Refresco de manzana Trina zero sin gas botella 1,5 l.","
 1,5 L. |
0,92 €/l","1,38 €",,,
9416,"
Refresco de limón Trina sin gas botella 1,5 l.","
 1,5 L. |
0,85 €/l","1,28 €",,,
9417,"
Refresco de limón Carrefour sin gas botella 1,5 l.","
 1,5 L. |
0,47 €/l","0,71 €",,,3x2
9418,"
Agua mineral Font Vella Sensación con zumo de manzana 1,25 l.","
 1,25 L. |
0,95 €/l","1,19 €",,,
9419,"
Refresco de manzana Carrefour sin gas botella 1,5 l.","
 1,5 L. |
0,47 €/l","0,71 €",,,3x2
9420,"
Refresco de naranja Tang sin gas en polvo 30 g.","
 30 G. |
14,67 €/kg","0,44 €",,,
9421,"
Font Vella La Limonada con hierbabuena sin gas zero azúcares botella 1,25 l.","
 1,25 L. |
0,86 €/l","1,07 €",,,
9422,"
Refresco de limón Tang sin gas en polvo 30 g.","
 30 G. |
14,67 €/kg","0,44 €",,,
9423,"
Refresco tropical Trina sin gas botella 1,5 l.","
 1,5 L. |
0,85 €/l","1,28 €",,,
9424,"
Refresco de naranja sin gas botella 1,5 l.","
 1,5 L. |
0,47 €/l","0,71 €",,,
9425,"
Refresco tropical Tang sin gas en polvo 30 g.","
 30 G. |
14,67 €/kg","0,44 €",,,
9426,"
Refresco de naranja Carrefour sin gas botella 1,5 l.","
 1,5 L. |
0,47 €/l","0,71 €",,,
9427,"
Refresco de limón Trina sin azúcar sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9428,"
Refresco de  manzana Trina sin gas botella 1,5 l.","
 1,5 L. |
0,85 €/l","1,28 €",,,
9429,"
Refresco de limón Trina sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9430,"
Refresco Carrefour sabor fresa con gas botella 1,5 l.","
 1,5 L. |
0,54 €/l","0,81 €",,,
9431,"
Refresco de piña Tang sin gas en polvo 30 g.","
 30 G. |
14,67 €/kg","0,44 €",,,
9432,"
Refresco de fresa Tang sin gas en polvo 30 g.","
 30 G. |
14,67 €/kg","0,44 €",,,
9433,"
Refresco de manzana Trina sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9434,"
Refresco de manzana Trina zero sin gas lata 33 cl.","
 33 Cl. |
1,67 €/l","0,55 €",,,
9435,"
Cerveza Goya Malta sin alcohol 35,5 cl.","
 355 Ml. |
2,99 €/l","1,06 €",,,
9436,"
Concentrado de limón Pulco sin azúcar sin gas botella 70 cl.","
 70 Cl. |
5,07 €/l","3,55 €",,,
9437,"
Concentrado de granadina Teisseire sin gas botella 60 cl.","
 60 Cl. |
8,02 €/l","4,81 €",,,
9438,"
Limonada Minute Maid Ligero sin gas lata 33 cl.","
 33 Cl. |
1,79 €/l","0,59 €",,,
9439,"
Concentrado de menta Teisseire sin gas botella 60 cl.","
 60 Cl. |
8,02 €/l","4,81 €",,,
9440,"
Refresco de aloe vera So botella 1,5 l.","
 1,5 L. |
2,01 €/l","3,01 €",,,
9441,"
Concentrado de limón Robinsons sin gas botella 1 l.","
 1 L. |
2,24 €/l","2,24 €",,,
9442,"
Concentrado de limón Teisseire sin gas botella 60 cl.","
 60 Cl. |
8,02 €/l","4,81 €",,,
9443,"
Limonada ecológica Delizum sin gas botella 1 l.","
 1 L. |
2,65 €/l","2,65 €",,,3x2
9444,"
Concentrado de groseya negra Teisseire sin gas botella 60 cl.","
 60 Cl. |
10,35 €/l","6,21 €",,,
9445,"
Concentrado de fresa Teisseire sin gas botella 60 cl.","
 60 Cl. |
10,35 €/l","6,21 €",,,
9446,"
Refresco de frambuesa Twist and Drink sin gas botella 20 cl.","
 20 Cl. |
3,35 €/l","0,67 €",,,
9447,"
Refresco de frutas silvestres Twist an Drink con gas botella 20 cl.","
 20 Cl. |
3,35 €/l","0,67 €",,,
9448,"
Goya de guaraná sin gas botella 1,5 l.","
 1,5 L. |
0,77 €/l","1,15 €",,,
9449,"
Refresco de guaraná Sanmy sin gas botella 2 l.","
 2 L. |
0,84 €/l","1,68 €",,,
9450,,,,,,
9451,"
Leche semidesnatada ecológica Puleva sin lactosa brik 1 l.","
 1 L. |
1,19 €/l",,"
1,45 €","
1,19 €",
9452,"
Sirope de agave ecológico Naturgreen sin gluten 690 g.","
 690 G. |
11,45 €/kg","7,90 €",,,
9453,"
Yogur natural ecológico Pur Natur 150 g.","
 150 G. |
5,93 €/kg","0,89 €",,,
9454,"
Quinoa hinchada ecológica Ecocesta 125 g.","
 125 G. |
25,60 €/kg","3,20 €",,,
9455,"
Macarrones ecológicos Gallo 500 g.","
 500 G. |
3,08 €/kg","1,54 €",,,
9456,"
Aceite de coco ecológico La Masía tarro 430 ml.","
 430 Ml. |
16,86 €/l","7,25 €",,,
9457,"
Cacao soluble instánteo ecológico Oxfam intermón sin gluten 400 g.","
 400 G. |
10,50 €/kg","4,20 €",,,
9458,"
Pepinillos ecológicos Campomar Nature 180 g.","
 180 G. |
13,68 €/kg","2,60 €",,,
9459,"
Café intenso ecológico en cápsulas Origen&Planet compatible con Nespresso 10 unidades de 5 g.","
 10 Ud. |
52,00 €/kg","2,60 €",,,
9460,"
Azúcar blanco de caña ecológico Azucarera 750 g.","
 750 G. |
3,73 €/kg","2,80 €",,,
9461,"
Café molido natural descafeinado ecológico Oquendo 250 g.","
 250 G. |
15,60 €/kg","3,90 €",,,
9462,"
Yogur estilo griego sirtaki de cítricos ecológico Casa Grande Xanceda 400 g.","
 400 G. |
7,25 €/kg","2,90 €",,,
9463,"
Fusilli integral ecológico Alce nero 500 g.","
 500 G. |
3,46 €/kg","1,73 €",,,
9464,"
Tempeh a la plancha ecológica Vivibio 220 g.","
 220 G. |
19,77 €/kg","4,35 €",,,
9465,"
Corazones de alcachofa categoría extra ecológicas Pedro Luis 260 g.","
 260 G. |
29,23 €/kg","7,60 €",,,
9466,"
Eritritol ecológico Naturgreen 500 g.","
 500 G. |
18,20 €/kg","9,10 €",,,
9467,"
Kéfir suave con frutas del bosque ecológico Casa Grande de Xanceda pack de 2 unidades de 125 g.","
 Pack 2x125 G. |
8,00 €/kg","2,00 €",,,
9468,"
Aceite de oliva virgen extra ecológico Maeva spray 200 ml.","
 200 Ml. |
13,00 €/l","2,60 €",,,
9469,"
Anchoas en aceite de oliva virgen extra ecológico Consorcio 38 g.","
 38 G. |
94,74 €/kg","3,60 €",,,
9470,"
Tortitas de arroz sin sal añadida ecológicas Ecocesta 100 g.","
 100 G. |
12,35 €/kg","1,42 €",,,
9471,"
Patatas fritas con sal Nature ecológicas Lay's 100 g.","
 100 G. |
21,00 €/kg","2,10 €",,,
9472,"
Infusión buen humor en bolsitas ecológica Yogi 12 ud.","
 12 Ud. |
135,71 €/kg","2,85 €",,,3x2
9473,"
Tortitas de arroz ecológicas Ecocesta 100 g.","
 100 G. |
12,35 €/kg","1,42 €",,,
9474,"
Alcaparras ecológicas Campomar Nature 65 g.","
 65 G. |
40,77 €/kg","2,65 €",,,
9475,,,,,,
9476,"
Crema irlandesa Baileys sabor café 70 cl.","
 70 Cl. |
17,86 €/l","12,50 €",,,5€ dto.
9477,"
Crema irlandesa Baileys sabor chocolate 50 cl.","
 50 Cl. |
29,60 €/l","14,80 €",,,5€ dto.
9478,"
Licor de hierbas El Afilador 70 cl.","
 70 Cl. |
11,06 €/l",,"
8,85 €","
7,74 €",
9479,"
Chinchón De Nuestra Tierra dulce 1 l.","
 1 L. |
9,30 €/l","9,30 €",,,15% Dto.
9480,"
Licor de melocotón Loch Castle sin alcohol 70 cl.","
 70 Cl. |
2,50 €/l","1,75 €",,,
9481,"
Pacharán La Navarra 1 l.","
 1 L. |
10,56 €/l","10,56 €",,,
9482,"
Crema irlandesa Baileys sabor caramelo 70 cl.","
 70 Cl. |
17,86 €/l","12,50 €",,,5€ dto.
9483,"
Licor de hierbas Jagermeister 70 cl.","
 70 Cl. |
18,86 €/l","13,20 €",,,
9484,"
Crema de fresa Loch Castle 70 cl.","
 70 Cl. |
10,50 €/l","7,35 €",,,
9485,"
Licor Ponche Caballero 70 cl.","
 70 Cl. |
14,90 €/l","10,43 €",,,
9486,"
Crema de chocolate y cereza Habelas Hailas 70 cl.","
 70 Cl. |
11,93 €/l","8,35 €",,,
9487,"
Aguardiente de orujo El Afilador 70 cl.","
 70 Cl. |
14,43 €/l","10,10 €",,,
9488,"
Licor de café Tía María 70 cl.","
 70 Cl. |
23,00 €/l","16,10 €",,,
9489,"
Vodka Gecko sabor caramelo 70 cl.","
 70 Cl. |
14,64 €/l","10,25 €",,,
9490,"
Pastis Ricard 1 l.","
 1 L. |
15,86 €/l","15,86 €",,,
9491,"
Licor de hierbas Jagermeister 1,75 l.","
 1,75 L. |
15,74 €/l","27,55 €",,,
9492,"
Licor de café Xare 70 cl.","
 70 Cl. |
7,86 €/l","5,50 €",,,
9493,"
Licor Amore Mio 70 cl.","
 70 Cl. |
12,77 €/l","8,94 €",,,
9494,"
Vodka Rives sabor caramelo 70 cl.","
 70 Cl. |
13,43 €/l","9,40 €",,,
9495,"
Anís Chinchón dulce 1 l.","
 1 L. |
10,05 €/l","10,05 €",,,
9496,"
Crema de fresas Buitral con tequila 1 l.","
 1 L. |
16,70 €/l","16,70 €",,,
9497,"
Concentrado de frutas Rives Blue Tropic 1 l.","
 1 L. |
3,99 €/l","3,99 €",,,
9498,"
Licor de melocotón Granpecher 70 cl.","
 70 Cl. |
9,43 €/l","6,60 €",,,
9499,"
Licor limoncello Cellini 70 cl.","
 70 Cl. |
17,86 €/l","12,50 €",,,
9500,,,,,,
9501,"
Fanta de naranja pack 9 latas de 33 cl.","
 Pack 9x33 Cl. |
1,42 €/l","4,23 €",,,
9502,"
Refresco de limón Fanta con gas zero lata 33 cl.","
 33 Cl. |
1,52 €/l","0,50 €",,,
9503,"
Refresco de naranja Fanta con gas pack de 2 botellas de 2 l.","
 Pack 2x2 L. |
0,50 €/l",,"
2,54 €","
2,00 €",
9504,"
Refresco de naranja Fanta con gas zero lata 33 cl.","
 33 Cl. |
1,48 €/l","0,49 €",,,
9505,"
7UP Free sin azúcar pack 9 latas 33 cl.","
 Pack 9x33 Cl. |
1,31 €/l","3,90 €",,,
9506,"
Fanta de limón pack 9 latas de 33 cl.","
 Pack 9x33 Cl. |
1,34 €/l","3,97 €",,,
9507,"
Refresco de naranja Fanta con gas zero pack de 6 latas de 33 cl.","
 Pack 6x33 Cl. |
1,45 €/l","2,87 €",,,
9508,"
Fanta de limón pack 2 botellas 2 l.","
 Pack 2x2 L. |
0,50 €/l",,"
2,10 €","
2,00 €",
9509,"
Refresco de limón Fanta con gas zero botella 2 l.","
 2 L. |
0,68 €/l","1,35 €",,,
9510,"
Refresco de naranja Fanta con gas zero pack de 2 botellas de 2 l.","
 Pack 2x2 L. |
0,50 €/l","2,02 €",,,
9511,"
7UP Free de lima-limón sin azúcar pack 2 botellas 2 l.","
 Pack 2x2 L |
0,52 €/l","2,10 €",,,
9512,"
Refresco de naranja Fanta con gas zero botella 2 l.","
 2 L. |
0,66 €/l","1,32 €",,,
9513,"
Refresco de naranja Fanta con gas lata 33 cl.","
 33 Cl. |
1,48 €/l","0,49 €",,,
9514,"
Refresco de lima-limón Sprite con gas sin azúcar lata 33 cl.","
 33 Cl. |
1,27 €/l","0,42 €",,,
9515,"
Refresco de naranja Carrefour con gas botella 2 l.","
 2 L. |
0,30 €/l","0,61 €",,,
9516,"
Refresco de limón Schweppes con gas lata 33 cl.","
 33 Cl. |
2,09 €/l","0,69 €",,,
9517,"
Refresco de limón Schweppes con gas zero lata 33 cl.","
 33 Cl. |
2,09 €/l","0,69 €",,,
9518,"
7UP de lima-limón lata 33 cl.","
 33 Cl. |
1,21 €/l","0,40 €",,,
9519,"
Refresco de limón La Casera con gas pack de 2 botellas de 1,5 l.","
 Pack 2x1,5 L. |
0,43 €/l","1,28 €",,,
9520,"
Kas de naranja zero lata de 33 cl.","
 33 Cl. |
1,48 €/l","0,49 €",,,
9521,"
Kas de limón zero lata de 33 cl.","
 33 Cl. |
1,48 €/l","0,49 €",,,
9522,"
7UP Free sin azúcar lata 33 cl.","
 33 Cl. |
1,36 €/l","0,45 €",,,
9523,"
Refresco de limón Fanta con gas lata 33 cl.","
 33 Cl. |
1,36 €/l","0,45 €",,,
9524,"
Kas de naranja pack de 9 latas de 33 cl.","
 Pack 9x33 Cl. |
1,52 €/l","4,50 €",,,
9525,"
Kas de limón pack de 9 latas de 33 cl.","
 Pack 9x33 Cl. |
1,26 €/l","3,75 €",,,
9526,"
Refresco de limón Schweppes con gas botella 1 l.","
 1 L. |
1,59 €/l","1,59 €",,,
9527,"
Refresco de lima-limón Sprite con gas lata 33 cl.","
 33 Cl. |
1,27 €/l","0,42 €",,,
9528,"
Refresco de limón Carrefour con gas zero botella 2 l.","
 2 L. |
0,30 €/l","0,61 €",,,
9529,"
Kas de naranja lata de 33 cl.","
 33 Cl. |
1,48 €/l","0,49 €",,,
9530,"
Refresco de limón Carrefour con gas botella 2 l.","
 2 L. |
0,30 €/l","0,61 €",,,
9531,"
Refresco de naranja La Casera con gas pack de 2 botellas de 1,5 l.","
 Pack 2x1,5 L. |
0,43 €/l","1,28 €",,,
9532,"
Kombucha de frutos rojos ecológico Komvida 25 cl.","
 25 Cl.. |
8,36 €/l","2,09 €",,,
9533,"
Refresco de lima-limón Sprite con gas zero botella 2 l.","
 2 L. |
0,60 €/l","1,19 €",,,2x1 Acumulación
9534,"
Kombucha de jengibre y limón ecológico Komvida 25 cl.","
 25 Cl.. |
8,36 €/l","2,09 €",,,
9535,"
7UP de lima-limón botella 2 l.","
 2 L. |
0,50 €/l","1,00 €",,,
9536,"
Kas de naranja pack de 2 botellas de 2 l.","
 Pack 2x2 L. |
0,65 €/l","2,60 €",,,
9537,"
7UP de lima-limón pack 12 latas 33 cl.","
 Pack 12x33 Cl. |
1,11 €/l","4,40 €",,,
9538,"
Refresco de lima-limón Carrefour con gas botella 2 l.","
 2 L. |
0,30 €/l","0,61 €",,,
9539,"
Refresco de naranja Fanta con gas pack de 6 latas de 20 cl.","
 Pack 6x20 Cl. |
2,00 €/l","2,40 €",,,
9540,"
Refresco citrus Schweppes lata 33 cl.","
 33 Cl. |
2,21 €/l","0,73 €",,,
9541,"
Refresco de naranja Carrefour con gas lata 33 cl.","
 33 Cl. |
0,82 €/l","0,27 €",,,
9542,"
Refresco de limón Schweppes con gas zero botella 1 l.","
 1 L. |
1,62 €/l","1,62 €",,,
9543,"
Refresco de naranja Schweppes con gas lata 33 cl.","
 33 Cl. |
2,15 €/l","0,71 €",,,
9544,"
Sprite de lima-limón pack 2 botellas 2 l.","
 Pack 2x2 L. |
0,42 €/l",,"
1,84 €","
1,70 €",
9545,"
Kas de limón pack de 2 botellas de 2 l.","
 Pack 2x2 L. |
0,60 €/l","2,40 €",,,
9546,"
Refresco de limón con gas Kas 33 cl.","
 33 Cl. |
1,52 €/l","0,50 €",,,
9547,"
Fanta de piña sin azúcares añadidos lata 33 cl.","
 33 Cl. |
1,73 €/l","0,57 €",,,
9548,"
Refresco de naranja Carrefour con gas light botella 2 l.","
 2 L. |
0,30 €/l","0,61 €",,,
9549,"
Refresco de limón Carrefour con gas lata 33 cl.","
 33 Cl. |
0,82 €/l","0,27 €",,,
9550,"
Kombucha de té verde ecológico Komvida 25 cl","
 25 Cl. |
8,36 €/l","2,09 €",,,
9551,,,,,,
9552,"
Coca Cola zero azúcar pack 24 latas 33 cl.","
 Pack 24x33 Cl. |
1,70 €/l",,"
14,64 €","
13,44 €",
9553,"
Coca Cola pack 24 latas 33 cl.","
 Pack 24x33 Cl. |
1,70 €/l",,"
14,64 €","
13,44 €",
9554,"
Coca Cola zero azúcar zero cafeína pack 24 latas 33 cl.","
 Pack 24x33 Cl. |
1,70 €/l",,"
14,64 €","
13,44 €",
9555,"
Coca Cola light pack 24 latas 33 cl.","
 Pack 24x33 Cl. |
1,70 €/l",,"
14,64 €","
13,44 €",
9556,"
Bebida Isotónica Aquarius zero sabor limón botella 1,5 l.","
 1,5 L. |
0,93 €/l",,"
1,55 €","
1,40 €",
9557,"
Refresco de naranja Fanta con gas pack de 2 botellas de 2 l.","
 Pack 2x2 L. |
0,50 €/l",,"
2,54 €","
2,00 €",
9558,"
Bebida Isotónica Aquarius sabor limón pack de 2 botellas de 1,5 l.","
 Pack 2x1,5 L. |
0,83 €/l",,"
2,60 €","
2,50 €",
9559,"
Bebida Isotónica Aquarius zero sabor naranja botella 1,5 l.","
 1,5 L. |
0,93 €/l",,"
1,55 €","
1,40 €",
9560,"
Fanta de limón pack 2 botellas 2 l.","
 Pack 2x2 L. |
0,50 €/l",,"
2,10 €","
2,00 €",
9561,"
Tónica Schweppes botella 1 l.","
 1 L. |
1,46 €/l",,"
1,56 €","
1,46 €",
9562,"
Bebida Isotónica Aquarius sabor limón pack de 4 botellas de 1,5 l.","
 Pack 4x1,5 L. |
0,80 €/l",,"
5,05 €","
4,83 €",
9563,"
Bebida Isotónica Aquarius sabor naranja pack de 2 botellas de 1,5 l.","
 Pack 2x1,5 L. |
0,83 €/l",,"
2,60 €","
2,50 €",
9564,"
Refresco de té Nestea sabor limón pack de 9 latas de 33 cl.","
 Pack 9x33 Cl. |
1,48 €/l",,"
5,61 €","
4,41 €",
9565,"
Tónica Nordic Mist lata 25 cl.","
 25 Cl. |
1,76 €/l","0,44 €",,,2x1 Acumulación
9566,"
Limonada Minute Maid sin gas botella 1 l.","
 1 L. |
1,25 €/l",,"
1,34 €","
1,25 €",2x1 Acumulación
9567,"
Bebida Isotónica Aquarius sabor naranja pack de 4 botellas de 1,5 l.","
 Pack 4x1,5 L. |
0,80 €/l",,"
5,05 €","
4,83 €",
9568,"
Limonada Minute Maid sabor hierbabuena sin gas botella 1 l.","
 1 L. |
1,25 €/l",,"
1,34 €","
1,25 €",2x1 Acumulación
9569,"
Limonada Minute Maid Ligero sin gas botella 1 l.","
 1 L. |
1,24 €/l","1,24 €",,,2x1 Acumulación
9570,"
Tónica Nordic Mist Blue lata 25 cl.","
 25 Cl. |
1,76 €/l","0,44 €",,,2x1 Acumulación
9571,"
Gaseosa Schuss sin calorías botella 1 l.","
 1 L. |
0,45 €/l",,"
0,48 €","
0,45 €",2x1 Acumulación
9572,"
Tónica Nordic Mist zero azúcar lata 25 cl.","
 25 Cl. |
1,80 €/l",,"
0,46 €","
0,45 €",2x1 Acumulación
9573,"
Refresco de lima-limón Sprite con gas zero botella 2 l.","
 2 L. |
0,60 €/l","1,19 €",,,2x1 Acumulación
9574,"
Bebida energética Monster Mango Loco 50 cl.","
 50 Cl. |
2,66 €/l",,"
1,37 €","
1,33 €",3x2
9575,"
Refresco de limón Carrefour sin gas botella 1,5 l.","
 1,5 L. |
0,47 €/l","0,71 €",,,3x2
9576,,,,,,
